id,title,price,promo_price,url
21155,Конструктор LEGO Minecraft Шахта крипера,8 989 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3187781/
10875,Конструктор LEGO DUPLO Town Грузовой поезд,13 789 ₽,12 399 ₽,https://www.detmir.ru/product/index/id/3092803/
10955,Конструктор LEGO DUPLO My First Поезд для животных,1 909 ₽,1 329 ₽,https://www.detmir.ru/product/index/id/3405527/
71360,Конструктор LEGO Super Mario Приключения вместе с Марио,5 989 ₽,3 979 ₽,https://www.detmir.ru/product/index/id/3244569/
41686,Конструктор LEGO Friends Волшебная акробатика,2 029 ₽,1 299 ₽,https://www.detmir.ru/product/index/id/3596786/
10914,Конструктор LEGO DUPLO Classic Коробка с кубиками большая,5 389 ₽,3 999 ₽,https://www.detmir.ru/product/index/id/3226557/
42122,Конструктор LEGO Technic Jeep Wrangler,5 629 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3430415/
10931,Конструктор LEGO DUPLO Грузовик и гусеничный экскаватор,2 109 ₽,1 599 ₽,https://www.detmir.ru/product/index/id/3244472/
10954,Конструктор LEGO DUPLO My First Поезд с цифрами-учимся считать,1 789 ₽,1 499 ₽,https://www.detmir.ru/product/index/id/3596758/
42126,Конструктор LEGO Technic Ford F-150 Raptor,16 789 ₽,10 295 ₽,https://www.detmir.ru/product/index/id/3596844/
21170,Конструктор LEGO Minecraft Дом-свинья,5 629 ₽,4 699 ₽,https://www.detmir.ru/product/index/id/3405639/
10929,Конструктор LEGO DUPLO Town Дом модульный,5 989 ₽,4 999 ₽,https://www.detmir.ru/product/index/id/3226567/
60283,Конструктор LEGO City Great Vehicles Отпуск в доме на колесах,1 789 ₽,1 499 ₽,https://www.detmir.ru/product/index/id/3405588/
10961,Конструктор LEGO DUPLO Town Самолет и аэропорт,2 989 ₽,2 399 ₽,https://www.detmir.ru/product/index/id/3596761/
42110,Конструктор LEGO Technic Land Rover Defender,20 389 ₽,16 999 ₽,https://www.detmir.ru/product/index/id/3200884/
41693,Конструктор LEGO Friends Серферский дом на берегу,7 789 ₽,6 699 ₽,https://www.detmir.ru/product/index/id/3620624/
43201,Конструктор LEGO Disney Princess,2 029 ₽,Скидки нет,https://www.detmir.ru/product/index/id/4058546/
11013,Конструктор LEGO Classic Прозрачные кубики,3 109 ₽,1 999 ₽,https://www.detmir.ru/product/index/id/3405535/
60291,Конструктор LEGO My City Современный дом для семьи,5 389 ₽,4 199 ₽,https://www.detmir.ru/product/index/id/3405578/
60293,Конструктор LEGO City Парк каскадёров,2 989 ₽,2 499 ₽,https://www.detmir.ru/product/index/id/3596883/
10909,Конструктор LEGO DUPLO Classic Шкатулка-сердечко,1 909 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405525/
31120,Конструктор LEGO Creator Средневековый замок,10 789 ₽,8 999 ₽,https://www.detmir.ru/product/index/id/3596771/
10872,Конструктор LEGO DUPLO Town Железнодорожный мост,2 629 ₽,1 999 ₽,https://www.detmir.ru/product/index/id/3092801/
17101,Конструктор LEGO BOOST Набор для конструирования и программирования,16 789 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3018843/
60306,Конструктор LEGO City Торговая улица,7 189 ₽,5 999 ₽,https://www.detmir.ru/product/index/id/3475284/
71739,Конструктор LEGO Ninjago Сверхзвуковой самолёт,10 189 ₽,7 999 ₽,https://www.detmir.ru/product/index/id/3596973/
60299,Конструктор LEGO City Stunt,1 789 ₽,1 499 ₽,https://www.detmir.ru/product/index/id/3596889/
41450,Конструктор LEGO Friends Торговый центр Хартлейк Сити,11 389 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405551/
41687,Конструктор LEGO Friends Киоск на Волшебной ярмарке,3 109 ₽,2 169 ₽,https://www.detmir.ru/product/index/id/3596790/
10913,Конструктор LEGO DUPLO Classic Коробка с кубиками,3 109 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3226556/
41444,Конструктор LEGO Friends Органическое кафе Хартлейк-Сити,3 109 ₽,2 129 ₽,https://www.detmir.ru/product/index/id/3405548/
75551,Конструктор LEGO Minions Миньоны и дом,5 629 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3244547/
71749,Конструктор LEGO Ninjago Дар Судьбы Решающая битва,4 309 ₽,2 999 ₽,https://www.detmir.ru/product/index/id/3596974/
71748,Конструктор LEGO Ninjago Морская битва на катамаране,7 789 ₽,4 705 ₽,https://www.detmir.ru/product/index/id/3405623/
60282,Конструктор LEGO City Fire Команда пожарных,5 989 ₽,5 389 ₽,https://www.detmir.ru/product/index/id/3405584/
10941,Конструктор LEGO DUPLO Disney Праздничный поезд Микки и Минни,3 109 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405533/
42125,Конструктор LEGO Technic Ferrari 488 GTE,20 269 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405655/
41449,Конструктор LEGO Friends Дом семьи Андреа,7 789 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405550/
10956,Конструктор LEGO DUPLO Town Парк развлечений,11 989 ₽,9 999 ₽,https://www.detmir.ru/product/index/id/3596759/
60295,Конструктор LEGO City Арена для шоу каскадёров,10 789 ₽,9 599 ₽,https://www.detmir.ru/product/index/id/3596885/
60281,Конструктор LEGO City Fire Спасательный пожарный вертолёт,2 989 ₽,2 499 ₽,https://www.detmir.ru/product/index/id/3405583/
43172,Конструктор LEGO Disney Frozen Волшебный ледяной замок Эльзы,7 789 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3193108/
76240,Конструктор LEGO Super Heroes Бэтмобиль Тумблер,26 389 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3985290/
41684,Конструктор LEGO Friends Гранд-отель Хартлейк Сити,11 389 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3596784/
42131,Конструктор LEGO Technic Бульдозер Cat D11T,49 189 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3596877/
76193,Конструктор LEGO Super Heroes Корабль Стражей,17 749 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3597030/
60301,Конструктор LEGO City Wildlife Спасательный внедорожник для зверей,4 549 ₽,3 999 ₽,https://www.detmir.ru/product/index/id/3596920/
75315,Конструктор LEGO Star Wars Легкий имперский крейсер,16 189 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3758560/
10950,Конструктор LEGO DUPLO Town Фермерский трактор и животные,1 909 ₽,1 599 ₽,https://www.detmir.ru/product/index/id/3405530/
60292,Конструктор LEGO My City Центр города,10 789 ₽,8 499 ₽,https://www.detmir.ru/product/index/id/3405579/
10957,Конструктор LEGO DUPLO My First Пожарный вертолет и полицейский автомобиль,949 ₽,699 ₽,https://www.detmir.ru/product/index/id/3405528/
10951,Конструктор LEGO DUPLO Town Конюшня для лошади и пони,2 989 ₽,2 399 ₽,https://www.detmir.ru/product/index/id/3405531/
71737,Конструктор LEGO Ninjago Ниндзя-перехватчик Х-1,5 389 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405626/
10942,Конструктор LEGO DUPLO Disney Дом и кафе Минни,5 389 ₽,4 299 ₽,https://www.detmir.ru/product/index/id/3596717/
76145,Конструктор LEGO Super Heroes Воздушное нападение Вечных,1 189 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405596/
41685,Конструктор LEGO Friends Американские горки на Волшебной ярмарке,10 189 ₽,8 799 ₽,https://www.detmir.ru/product/index/id/3596785/
43200,Конструктор LEGO Disney Princess,2 029 ₽,Скидки нет,https://www.detmir.ru/product/index/id/4058545/
10933,Конструктор LEGO DUPLO Башенный кран на стройке,11 989 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3244480/
60303,Конструктор LEGO City Occasions Новогодний календарь,2 029 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3777764/
71382,Конструктор LEGO Super Mario дополнительный набор загадочное испытание растения-пираньи,3 229 ₽,2 099 ₽,https://www.detmir.ru/product/index/id/3405614/
60214,Конструктор LEGO City Fire Пожар в бургер-кафе,2 989 ₽,2 689 ₽,https://www.detmir.ru/product/index/id/3142077/
10952,Конструктор LEGO DUPLO Town Фермерский трактор сарай и животные,7 789 ₽,5 999 ₽,https://www.detmir.ru/product/index/id/3405532/
41446,Конструктор LEGO Friends Ветеринарная клиника Хартлейк-Сити,4 309 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3405555/
10940,Конструктор LEGO DUPLO Super Heroes Штаб-квартира Человека-паука,3 109 ₽,2 499 ₽,https://www.detmir.ru/product/index/id/3596716/
42129,Конструктор LEGO Technic Полноприводный грузовик-внедорожник Mercedes-Benz Zetros,31 189 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3596876/
76940,Конструктор LEGO Jurassic World Скелет тираннозавра на выставке,3 349 ₽,Скидки нет,https://www.detmir.ru/product/index/id/3597052/
41169,Конструктор LEGO Disney Frozen Олаф,1 299 ₽,649 ₽,https://www.detmir.ru/product/index/id/3200883/
60280,Конструктор LEGO City Fire Пожарная машина с лестницей,1 789 ₽,1 499 ₽,https://www.detmir.ru/product/index/id/3405582/
76939,Конструктор LEGO Jurassic World Побег стигимолоха,4 429 ₽,3 899 ₽,https://www.detmir.ru/product/index/id/3597051/
